Time_ps,H2O2^0,H3O^1,HO2^-1,HO2^0,H^0,H_2^0,O2^-1,O2^0,O3P^0,O3^-1,O3^0,OH^-1,OH^0,O^-1,e_aq^-1
141747.0,1.3404,3.93456,0.0,0.0,1.0997,0.964876,0.0,0.0,0.0,0.0,0.0,0.93515,3.34807,0.0,3.12912
162975.0,1.34301,3.90535,0.0,0.0,1.10283,0.97071,0.0,0.0,0.0,0.0,0.0,0.941861,3.32172,0.0,3.0932
187382.0,1.34499,3.87663,0.0,0.0,1.10607,0.978123,0.0,0.0,0.0,0.0,0.0,0.949695,3.29928,0.0,3.05664
215443.0,1.34938,3.85019,0.0,0.0,1.11021,0.984119,0.0,0.0,0.0,0.0,0.0,0.955942,3.27394,0.0,3.02396
247708.0,1.35029,3.8244,0.0,0.0,1.11353,0.988733,0.0,0.0,0.0,0.0,0.0,0.958915,3.25589,0.0,2.9952
284804.0,1.35059,3.80317,0.0,0.0,1.11478,0.995056,0.0,0.0,0.0,0.0,0.0,0.965837,3.24106,0.0,2.96705
327455.0,1.35192,3.78208,0.0,0.0,1.1163,0.999826,0.0,0.0,0.0,0.0,0.0,0.970665,3.22353,0.0,2.94112
376494.0,1.35266,3.76282,0.0,0.0,1.11578,1.00552,0.0,0.0,0.0,0.0,0.0,0.977219,3.2071,0.0,2.91531
432876.0,1.3546,3.74306,0.0,0.0,1.11766,1.01026,0.0,0.0,0.0,0.0,0.0,0.982189,3.18984,0.0,2.89058
497702.0,1.35602,3.72254,0.0,0.0,1.11712,1.01466,0.0,0.0,0.0,0.0,0.0,0.983866,3.17308,0.0,2.86839
572237.0,1.35717,3.70186,0.0,0.0,1.12012,1.01852,0.0,0.0,0.0,0.0,0.0,0.986178,3.15851,0.0,2.84539
657933.0,1.35851,3.68435,0.0,0.0,1.12176,1.02226,0.0,0.0,0.0,0.0,0.0,0.990378,3.14325,0.0,2.82369
756463.0,1.35928,3.66796,0.0,0.0,1.12364,1.02558,0.0,0.0,0.0,0.0,0.0,0.994048,3.13015,0.0,2.80362
869749.0,1.36072,3.6515,0.0,0.0,1.12543,1.02974,0.0,0.0,0.0,0.0,0.0,0.999771,3.11522,0.0,2.78144
1000000.0,1.36225,3.63648,0.0,0.0,1.12634,1.03348,0.0,0.0,0.0,0.0,0.0,1.00435,3.10094,0.0,2.76184
